,Real,Predicted
2019-02-20,3924.23999,5297.0215
2019-02-21,3974.050049,5333.3496
2019-02-22,3937.040039,5370.1284
2019-02-23,3983.530029,5426.2095
2019-02-24,4149.089844,5463.98
2019-02-25,3771.620117,5502.736
2019-02-26,3845.51001,5550.71
2019-02-27,3817.879883,5585.092
2019-02-28,3830.719971,5601.9463
2019-03-01,3823.370117,5602.371
2019-03-02,3831.47998,5556.7163
2019-03-03,3842.939941,5501.577
2019-03-04,3812.310059,5450.5605
2019-03-05,3731.280029,5400.063
2019-03-06,3874.179932,5343.557
2019-03-07,3874.97998,5279.3496
2019-03-08,3882.610107,5207.4204
2019-03-09,3868.02002,5201.1006
2019-03-10,3947.73999,5228.273
2019-03-11,3929.840088,5270.104
2019-03-12,3874.889893,5318.096
2019-03-13,3888.570068,5362.1514
2019-03-14,3878.439941,5407.772
2019-03-15,3881.439941,5443.888
2019-03-16,3927.080078,5487.651
2019-03-17,4027.01001,5524.6763
2019-03-18,3998.0,5544.33
2019-03-19,3988.850098,5543.9224
2019-03-20,4024.139893,5547.2837
2019-03-21,4056.75,5549.586
2019-03-22,3996.929932,5551.4673
2019-03-23,4000.840088,5555.3267
2019-03-24,4007.209961,5559.961
2019-03-25,3994.110107,5562.8716
2019-03-26,3924.550049,5555.289
2019-03-27,3942.219971,5539.5
2019-03-28,4045.97998,5517.3896
2019-03-29,4036.449951,5484.3994
2019-03-30,4111.379883,5455.2437
2019-03-31,4118.129883,5430.2285
2019-04-01,4112.689941,5417.4414
2019-04-02,4151.319824,5404.319
2019-04-03,4906.930176,5414.925
2019-04-04,4976.589844,5444.12
2019-04-05,4913.359863,5491.811
2019-04-06,5047.22998,5535.1
2019-04-07,5057.25,5576.107
2019-04-08,5201.160156,5610.672
2019-04-09,5294.089844,5637.052
2019-04-10,5201.299805,5660.2417
2019-04-11,5318.600098,5672.889
2019-04-12,5048.560059,5683.3765
2019-04-13,5081.5,5686.077
2019-04-14,5080.660156,5679.6377
2019-04-15,5165.589844,5659.0444
2019-04-16,5037.27002,5645.124
2019-04-17,5212.810059,5633.3154
2019-04-18,5236.259766,5612.6455
2019-04-19,5289.75,5590.065
2019-04-20,5295.529785,5580.0137
2019-04-21,5326.180176,5576.389
2019-04-22,5305.740234,5579.912
2019-04-23,5394.669922,5582.358
2019-04-24,5539.100098,5613.854
2019-04-25,5454.580078,5620.966
2019-04-26,5162.669922,5642.547
2019-04-27,5234.089844,5649.435
2019-04-28,5229.47998,5654.242
2019-04-29,5272.450195,5631.6914
2019-04-30,5237.959961,5593.0483
2019-05-01,5350.640137,5548.87
2019-05-02,5389.540039,5498.032
2019-05-03,5500.720215,5450.6836
2019-05-04,5753.379883,5412.2993
2019-05-05,5840.080078,5381.171
2019-05-06,5794.140137,5377.902
2019-05-07,5748.169922,5405.6963
2019-05-08,5819.569824,5465.414
2019-05-09,5998.709961,5521.3037
2019-05-10,6171.959961,5573.6606
2019-05-11,6358.290039,5617.899
2019-05-12,7191.359863,5658.6313
2019-05-13,6977.629883,5687.937
2019-05-14,7806.359862999999,5718.101
2019-05-15,7980.129883,5735.762
2019-05-16,8183.830077999999,5751.9927
2019-05-17,7874.109863,5767.3315
2019-05-18,7371.959961,5788.933
2019-05-19,7266.080078,5794.0513
2019-05-20,8193.139648,5798.7837
2019-05-21,7998.2900389999995,5796.119
2019-05-22,7947.930176,5792.1562
2019-05-23,7626.890136999999,5784.061
2019-05-24,7876.499999999999,5776.4766
2019-05-25,7996.399902,5765.131
2019-05-26,8059.129882999999,5752.0
2019-05-27,8726.230469,5740.6533
2019-05-28,8785.169922,5731.973
2019-05-29,8718.849609,5733.9507
2019-05-30,8664.55957,5735.745
2019-05-31,8276.25,5736.3945
2019-06-01,8550.669922,5736.8003
2019-06-02,8555.870117,5738.553
2019-06-03,8737.910156,5735.2
2019-06-04,8114.490233999999,5732.3643
2019-06-05,7677.470214999999,5729.2764
