,Real,Predicted
2019-02-18,3670.919922,5130.136
2019-02-19,3912.570068,5069.842
2019-02-20,3924.23999,5194.7617
2019-02-21,3974.050049,5794.5586
2019-02-22,3937.040039,5797.8843
2019-02-23,3983.530029,5648.5356
2019-02-24,4149.089844,5664.608
2019-02-25,3771.620117,5729.964
2019-02-26,3845.51001,5823.9243
2019-02-27,3817.879883,5800.12
2019-02-28,3830.719971,5207.216
2019-03-01,3823.370117,5057.392
2019-03-02,3831.47998,5038.6836
2019-03-03,3842.939941,5058.6084
2019-03-04,3812.310059,5109.9526
2019-03-05,3731.280029,5111.318
2019-03-06,3874.179932,5115.585
2019-03-07,3874.97998,4961.4507
2019-03-08,3882.610107,4986.7036
2019-03-09,3868.02002,5222.982
2019-03-10,3947.73999,5532.7705
2019-03-11,3929.840088,5491.8604
2019-03-12,3874.889893,5516.409
2019-03-13,3888.570068,5524.708
2019-03-14,3878.439941,5549.3926
2019-03-15,3881.439941,5532.7705
2019-03-16,3927.080078,5491.8604
2019-03-17,4027.01001,5516.409
2019-03-18,3998.0,5508.0864
2019-03-19,3988.850098,5516.666
2019-03-20,4024.139893,5599.075
2019-03-21,4056.75,5549.3926
2019-03-22,3996.929932,5541.096
2019-03-23,4000.840088,5573.758
2019-03-24,4007.209961,5699.114
2019-03-25,3994.110107,5499.2656
2019-03-26,3924.550049,5305.649
2019-03-27,3942.219971,5187.895
2019-03-28,4045.97998,5208.0835
2019-03-29,4036.449951,5151.919
2019-03-30,4111.379883,5210.9717
2019-03-31,4118.129883,5330.9707
2019-04-01,4112.689941,5411.8984
2019-04-02,4151.319824,5574.1885
2019-04-03,4906.930176,5598.354
2019-04-04,4976.589844,5731.2646
2019-04-05,4913.359863,5765.352
2019-04-06,5047.22998,5959.1455
2019-04-07,5057.25,5698.3887
2019-04-08,5201.160156,5696.0176
2019-04-09,5294.089844,5872.3486
2019-04-10,5201.299805,5940.145
2019-04-11,5318.600098,5836.1074
2019-04-12,5048.560059,5796.416
2019-04-13,5081.5,5769.9736
2019-04-14,5080.660156,5657.0747
2019-04-15,5165.589844,5270.5146
2019-04-16,5037.27002,5657.7437
2019-04-17,5212.810059,5460.3413
2019-04-18,5236.259766,5599.0283
2019-04-19,5289.75,5444.6104
2019-04-20,5295.529785,5737.6895
2019-04-21,5326.180176,5788.711
2019-04-22,5305.740234,5722.169
2019-04-23,5394.669922,5746.96
2019-04-24,5539.100098,5739.146
2019-04-25,5454.580078,5767.854
2019-04-26,5162.669922,5916.1904
2019-04-27,5234.089844,5790.021
2019-04-28,5229.47998,5473.034
2019-04-29,5272.450195,5097.1377
