,Real,Predicted
2019-02-20,3924.23999,6972.374
2019-02-21,3974.050049,7056.5117
2019-02-22,3937.040039,7133.8623
2019-02-23,3983.530029,7204.979
2019-02-24,4149.089844,7273.483
2019-02-25,3771.620117,7335.952
2019-02-26,3845.51001,7433.3296
2019-02-27,3817.879883,7286.4424
2019-02-28,3830.719971,7142.206
2019-03-01,3823.370117,7033.8003
2019-03-02,3831.47998,6926.5664
2019-03-03,3842.939941,6890.7896
2019-03-04,3812.310059,6800.235
2019-03-05,3731.280029,6779.338
2019-03-06,3874.179932,6512.2847
2019-03-07,3874.97998,6305.129
2019-03-08,3882.610107,6313.5312
2019-03-09,3868.02002,6677.84
2019-03-10,3947.73999,6745.715
2019-03-11,3929.840088,6891.1924
2019-03-12,3874.889893,6968.486
2019-03-13,3888.570068,7056.719
2019-03-14,3878.439941,7116.001
2019-03-15,3881.439941,7136.7886
2019-03-16,3927.080078,7196.4478
2019-03-17,4027.01001,7234.3867
2019-03-18,3998.0,7246.97
2019-03-19,3988.850098,7291.6265
2019-03-20,4024.139893,7276.444
2019-03-21,4056.75,7286.0195
2019-03-22,3996.929932,7272.4023
2019-03-23,4000.840088,7351.7974
2019-03-24,4007.209961,7300.78
2019-03-25,3994.110107,7240.9224
2019-03-26,3924.550049,7114.22
2019-03-27,3942.219971,7084.195
2019-03-28,4045.97998,6984.1533
2019-03-29,4036.449951,6934.0967
2019-03-30,4111.379883,6976.744
2019-03-31,4118.129883,6970.321
2019-04-01,4112.689941,7084.783
2019-04-02,4151.319824,7065.937
2019-04-03,4906.930176,7192.878
2019-04-04,4976.589844,7211.1816
2019-04-05,4913.359863,7390.956
2019-04-06,5047.22998,7350.185
2019-04-07,5057.25,7388.9473
2019-04-08,5201.160156,7448.327
2019-04-09,5294.089844,7500.695
2019-04-10,5201.299805,7504.212
2019-04-11,5318.600098,7511.082
2019-04-12,5048.560059,7502.681
2019-04-13,5081.5,7520.381
2019-04-14,5080.660156,7338.756
