,Real,Predicted
2019-02-20,3924.23999,7456.2173
2019-02-21,3974.050049,7690.3726
2019-02-22,3937.040039,7655.7407
2019-02-23,3983.530029,7721.1357
2019-02-24,4149.089844,7798.592
2019-02-25,3771.620117,7879.9395
2019-02-26,3845.51001,8013.563
2019-02-27,3817.879883,7715.6626
2019-02-28,3830.719971,7580.212
2019-03-01,3823.370117,7525.2554
2019-03-02,3831.47998,7446.441
2019-03-03,3842.939941,7415.8774
2019-03-04,3812.310059,7314.462
2019-03-05,3731.280029,7277.5137
2019-03-06,3874.179932,6949.0513
2019-03-07,3874.97998,6665.3745
2019-03-08,3882.610107,6618.5864
2019-03-09,3868.02002,7091.3574
2019-03-10,3947.73999,7233.8843
2019-03-11,3929.840088,7352.6455
2019-03-12,3874.889893,7434.692
2019-03-13,3888.570068,7531.8535
2019-03-14,3878.439941,7606.7817
2019-03-15,3881.439941,7620.279
2019-03-16,3927.080078,7703.7124
2019-03-17,4027.01001,7759.48
2019-03-18,3998.0,7774.1836
2019-03-19,3988.850098,7842.2314
2019-03-20,4024.139893,7813.668
2019-03-21,4056.75,7819.914
2019-03-22,3996.929932,7800.7974
2019-03-23,4000.840088,7921.0454
2019-03-24,4007.209961,7827.8506
2019-03-25,3994.110107,7733.036
2019-03-26,3924.550049,7585.297
2019-03-27,3942.219971,7581.0986
2019-03-28,4045.97998,7485.704
2019-03-29,4036.449951,7439.656
2019-03-30,4111.379883,7502.665
2019-03-31,4118.129883,7501.7456
2019-04-01,4112.689941,7642.042
2019-04-02,4151.319824,7605.646
2019-04-03,4906.930176,7747.158
2019-04-04,4976.589844,7750.152
2019-04-05,4913.359863,7994.476
2019-04-06,5047.22998,7873.294
2019-04-07,5057.25,7902.0728
2019-04-08,5201.160156,8006.9414
2019-04-09,5294.089844,8071.8447
2019-04-10,5201.299805,8039.938
2019-04-11,5318.600098,8044.6465
2019-04-12,5048.560059,8026.0825
2019-04-13,5081.5,8066.928
2019-04-14,5080.660156,7750.869
2019-04-15,5165.589844,8019.42
2019-04-16,5037.27002,7830.33
2019-04-17,5212.810059,7985.3247
2019-04-18,5236.259766,7796.0913
2019-04-19,5289.75,7955.748
2019-04-20,5295.529785,7968.388
2019-04-21,5326.180176,7934.9243
2019-04-22,5305.740234,7948.217
2019-04-23,5394.669922,7944.026
2019-04-24,5539.100098,7961.972
2019-04-25,5454.580078,8056.7085
2019-04-26,5162.669922,8025.596
2019-04-27,5234.089844,7953.174
2019-04-28,5229.47998,7697.488
2019-04-29,5272.450195,7644.6743
2019-04-30,5237.959961,7539.765
2019-05-01,5350.640137,7516.682
2019-05-02,5389.540039,7438.852
2019-05-03,5500.720215,7560.5913
2019-05-04,5753.379883,7497.8457
2019-05-05,5840.080078,7718.789
2019-05-06,5794.140137,7782.692
2019-05-07,5748.169922,7848.7036
2019-05-08,5819.569824,7738.9473
2019-05-09,5998.709961,7995.9775
2019-05-10,6171.959961,7936.1733
2019-05-11,6358.290039,8071.8975
2019-05-12,7191.359863,8097.1606
2019-05-13,6977.629883,8167.741
2019-05-14,7806.359862999999,8158.868
2019-05-15,7980.129883,8198.793
2019-05-16,8183.830077999999,8194.333
2019-05-17,7874.109863,8195.519
2019-05-18,7371.959961,8187.073
2019-05-19,7266.080078,8105.2954
2019-05-20,8193.139648,8143.137
2019-05-21,7998.2900389999995,8158.9136
2019-05-22,7947.930176,8181.4536
2019-05-23,7626.890136999999,8129.1787
2019-05-24,7876.499999999999,8148.6523
2019-05-25,7996.399902,8099.1743
2019-05-26,8059.129882999999,8092.2485
2019-05-27,8726.230469,8133.6685
2019-05-28,8785.169922,8100.931
2019-05-29,8718.849609,8139.612
2019-05-30,8664.55957,8140.847
2019-05-31,8276.25,8143.4287
2019-06-01,8550.669922,8160.3066
2019-06-02,8555.870117,8039.4497
2019-06-03,8737.910156,8066.4707
2019-06-04,8114.490233999999,8065.5776
2019-06-05,7677.470214999999,8100.331
2019-06-06,7791.2900389999995,7786.3135
2019-06-07,7807.359862999999,7447.925
2019-06-08,8002.629882999999,7381.26
2019-06-09,7933.779785,7096.294
2019-06-10,7643.439941,7742.0977
2019-06-11,8021.0,7757.259
2019-06-12,7917.319824,7438.629
2019-06-13,8174.140136999999,7666.788
2019-06-14,8235.570313,7657.305
2019-06-15,8693.959961,7746.9316
2019-06-16,8853.55957,7889.9336
2019-06-17,8979.179688,8074.3843
2019-06-18,9336.009766,8154.465
2019-06-19,9081.709961,8215.15
2019-06-20,9280.540039,8211.444
2019-06-21,9536.849609,8219.808
2019-06-22,10218.870117,8225.326
2019-06-23,10689.540039,8254.78
2019-06-24,10855.990234,8244.953
2019-06-25,11035.740234,8260.544
2019-06-26,11740.339844,8231.926
2019-06-27,12913.280273,8290.059
2019-06-28,11154.089844,8315.333
2019-06-29,12355.05957,8289.2705
2019-06-30,11884.099609,8093.7925
2019-07-01,10769.049805,8241.923
2019-07-02,10591.870117,8224.723
2019-07-03,10844.129883,8125.075
2019-07-04,11981.610352,8120.6465
2019-07-05,11156.519531,8250.265
2019-07-06,10993.25,8188.8027
2019-07-07,11248.94043,8130.943
2019-07-08,11474.280273,8177.752
2019-07-09,12296.160156,8110.995
2019-07-10,12567.019531,8193.092
2019-07-11,12099.120117,8247.35
2019-07-12,11343.120117,8227.259
2019-07-13,11797.370117,8066.8716
2019-07-14,11363.969727,7730.905
2019-07-15,10204.410156,8108.3784
2019-07-16,10850.259766,8013.9106
2019-07-17,9423.44043,7400.389
2019-07-18,9696.150391,7370.06
2019-07-19,10638.349609,6936.735
2019-07-20,10532.94043,7096.857
2019-07-21,10759.419922,7014.3022
2019-07-22,10586.709961,6569.9263
2019-07-23,10325.870117,6540.1714
2019-07-24,9854.150391,6620.0947
2019-07-25,9772.139648,6472.598
2019-07-26,9882.429688,5960.998
2019-07-27,9847.450195,6191.4927
2019-07-28,9478.320313,5986.941
2019-07-29,9531.769531,6429.329
