,Real,Predicted
2019-02-18,3670.919922,5166.2007
2019-02-19,3912.570068,5071.7964
2019-02-20,3924.23999,5007.242
2019-02-21,3974.050049,5116.102
2019-02-22,3937.040039,5275.5464
2019-02-23,3983.530029,5479.1987
2019-02-24,4149.089844,5684.8994
2019-02-25,3771.620117,5672.4463
2019-02-26,3845.51001,5642.045
2019-02-27,3817.879883,5656.3745
2019-02-28,3830.719971,5656.967
2019-03-01,3823.370117,5603.572
2019-03-02,3831.47998,5436.4097
2019-03-03,3842.939941,4959.0303
2019-03-04,3812.310059,4821.255
2019-03-05,3731.280029,4839.2954
2019-03-06,3874.179932,4872.4424
2019-03-07,3874.97998,4890.2124
2019-03-08,3882.610107,4839.2754
2019-03-09,3868.02002,4855.7266
2019-03-10,3947.73999,4863.8223
2019-03-11,3929.840088,5095.551
2019-03-12,3874.889893,5364.7715
2019-03-13,3888.570068,5522.2695
2019-03-14,3878.439941,5512.139
2019-03-15,3881.439941,5526.022
2019-03-16,3927.080078,5529.2627
2019-03-17,4027.01001,5531.918
2019-03-18,3998.0,5519.913
2019-03-19,3988.850098,5508.239
2019-03-20,4024.139893,5523.4067
2019-03-21,4056.75,5531.0474
2019-03-22,3996.929932,5540.7114
2019-03-23,4000.840088,5569.522
2019-03-24,4007.209961,5557.851
2019-03-25,3994.110107,5562.7026
2019-03-26,3924.550049,5552.2817
2019-03-27,3942.219971,5529.025
2019-03-28,4045.97998,5353.3887
2019-03-29,4036.449951,5183.1846
2019-03-30,4111.379883,5092.612
2019-03-31,4118.129883,5130.473
2019-04-01,4112.689941,5167.0596
2019-04-02,4151.319824,5292.203
2019-04-03,4906.930176,5429.482
2019-04-04,4976.589844,5514.5005
2019-04-05,4913.359863,5606.851
2019-04-06,5047.22998,5641.9897
2019-04-07,5057.25,5692.245
2019-04-08,5201.160156,5702.3315
2019-04-09,5294.089844,5730.158
2019-04-10,5201.299805,5677.9727
2019-04-11,5318.600098,5699.25
2019-04-12,5048.560059,5739.4604
2019-04-13,5081.5,5742.3184
2019-04-14,5080.660156,5700.618
2019-04-15,5165.589844,5666.2656
2019-04-16,5037.27002,5611.4155
2019-04-17,5212.810059,5550.674
2019-04-18,5236.259766,5417.89
2019-04-19,5289.75,5576.5586
2019-04-20,5295.529785,5517.9517
2019-04-21,5326.180176,5590.2886
2019-04-22,5305.740234,5582.9336
2019-04-23,5394.669922,5677.8843
2019-04-24,5539.100098,5685.9854
2019-04-25,5454.580078,5672.612
2019-04-26,5162.669922,5685.8257
2019-04-27,5234.089844,5693.7104
2019-04-28,5229.47998,5690.8667
2019-04-29,5272.450195,5671.3477
2019-04-30,5237.959961,5512.4287
2019-05-01,5350.640137,5220.5044
2019-05-02,5389.540039,4904.4946
2019-05-03,5500.720215,4943.9717
2019-05-04,5753.379883,4997.487
2019-05-05,5840.080078,5157.7666
2019-05-06,5794.140137,5333.587
2019-05-07,5748.169922,5525.1367
2019-05-08,5819.569824,5613.149
2019-05-09,5998.709961,5714.3516
2019-05-10,6171.959961,5723.2783
2019-05-11,6358.290039,5712.477
2019-05-12,7191.359863,5697.034
2019-05-13,6977.629883,5759.781
2019-05-14,7806.359862999999,5759.4385
2019-05-15,7980.129883,5801.7085
2019-05-16,8183.830077999999,5823.1343
2019-05-17,7874.109863,5841.857
2019-05-18,7371.959961,5844.152
2019-05-19,7266.080078,5849.8125
2019-05-20,8193.139648,5840.1367
2019-05-21,7998.2900389999995,5820.12
2019-05-22,7947.930176,5789.5317
2019-05-23,7626.890136999999,5755.195
2019-05-24,7876.499999999999,5776.855
2019-05-25,7996.399902,5790.5654
2019-05-26,8059.129882999999,5786.5146
2019-05-27,8726.230469,5758.318
2019-05-28,8785.169922,5751.0938
2019-05-29,8718.849609,5735.8755
2019-05-30,8664.55957,5748.885
2019-05-31,8276.25,5774.076
2019-06-01,8550.669922,5777.0083
2019-06-02,8555.870117,5791.78
2019-06-03,8737.910156,5789.805
2019-06-04,8114.490233999999,5774.732
2019-06-05,7677.470214999999,5745.407
2019-06-06,7791.2900389999995,5667.699
2019-06-07,7807.359862999999,5631.0996
