,Real,Predicted
2019-02-20,3924.23999,6144.0156
2019-02-21,3974.050049,6237.1807
2019-02-22,3937.040039,6243.7617
2019-02-23,3983.530029,6266.4014
2019-02-24,4149.089844,6292.366
2019-02-25,3771.620117,6318.668
2019-02-26,3845.51001,6375.635
2019-02-27,3817.879883,6195.8384
2019-02-28,3830.719971,6109.088
2019-03-01,3823.370117,6043.207
2019-03-02,3831.47998,5982.3706
2019-03-03,3842.939941,5962.219
2019-03-04,3812.310059,5910.8936
2019-03-05,3731.280029,5921.427
2019-03-06,3874.179932,5771.5283
2019-03-07,3874.97998,5659.711
2019-03-08,3882.610107,5700.5913
2019-03-09,3868.02002,5990.9775
2019-03-10,3947.73999,6064.5776
2019-03-11,3929.840088,6138.2495
2019-03-12,3874.889893,6167.4
2019-03-13,3888.570068,6198.783
2019-03-14,3878.439941,6211.977
2019-03-15,3881.439941,6200.984
2019-03-16,3927.080078,6216.8906
2019-03-17,4027.01001,6220.6426
2019-03-18,3998.0,6214.452
2019-03-19,3988.850098,6252.1104
2019-03-20,4024.139893,6236.122
2019-03-21,4056.75,6241.975
2019-03-22,3996.929932,6230.9907
2019-03-23,4000.840088,6296.218
2019-03-24,4007.209961,6246.941
2019-03-25,3994.110107,6194.4814
2019-03-26,3924.550049,6111.532
2019-03-27,3942.219971,6102.0073
2019-03-28,4045.97998,6038.627
2019-03-29,4036.449951,6019.714
2019-03-30,4111.379883,6061.343
2019-03-31,4118.129883,6078.393
2019-04-01,4112.689941,6174.9414
2019-04-02,4151.319824,6183.645
2019-04-03,4906.930176,6266.724
2019-04-04,4976.589844,6264.668
2019-04-05,4913.359863,6374.135
2019-04-06,5047.22998,6311.26
2019-04-07,5057.25,6314.3228
2019-04-08,5201.160156,6357.714
2019-04-09,5294.089844,6391.8696
2019-04-10,5201.299805,6376.244
2019-04-11,5318.600098,6377.1035
2019-04-12,5048.560059,6361.2183
2019-04-13,5081.5,6382.4956
2019-04-14,5080.660156,6169.9355
2019-04-15,5165.589844,6331.116
2019-04-16,5037.27002,6205.242
2019-04-17,5212.810059,6300.8584
2019-04-18,5236.259766,6189.375
2019-04-19,5289.75,6295.2324
2019-04-20,5295.529785,6311.399
2019-04-21,5326.180176,6307.819
2019-04-22,5305.740234,6322.3813
2019-04-23,5394.669922,6325.746
2019-04-24,5539.100098,6325.1
2019-04-25,5454.580078,6380.748
