,Real,Predicted
2019-02-18,3670.919922,5271.949
2019-02-19,3912.570068,5188.4204
2019-02-20,3924.23999,5380.498
2019-02-21,3974.050049,6127.0034
2019-02-22,3937.040039,6125.2734
2019-02-23,3983.530029,5952.0127
2019-02-24,4149.089844,5972.9277
2019-02-25,3771.620117,6051.189
2019-02-26,3845.51001,6163.9224
2019-02-27,3817.879883,6117.9526
2019-02-28,3830.719971,5374.792
2019-03-01,3823.370117,5172.1606
2019-03-02,3831.47998,5146.801
2019-03-03,3842.939941,5175.7695
2019-03-04,3812.310059,5244.67
2019-03-05,3731.280029,5248.779
2019-03-06,3874.179932,5249.0493
2019-03-07,3874.97998,5040.404
2019-03-08,3882.610107,5078.0347
2019-03-09,3868.02002,5410.5874
2019-03-10,3947.73999,5807.214
2019-03-11,3929.840088,5757.425
2019-03-12,3874.889893,5787.9424
2019-03-13,3888.570068,5799.1665
2019-03-14,3878.439941,5829.5405
2019-03-15,3881.439941,5807.214
2019-03-16,3927.080078,5757.425
2019-03-17,4027.01001,5787.9424
2019-03-18,3998.0,5776.665
2019-03-19,3988.850098,5791.172
2019-03-20,4024.139893,5889.9863
2019-03-21,4056.75,5829.5405
2019-03-22,3996.929932,5818.4067
2019-03-23,4000.840088,5865.09
2019-03-24,4007.209961,6008.892
2019-03-25,3994.110107,5761.9683
2019-03-26,3924.550049,5508.493
2019-03-27,3942.219971,5353.7886
2019-03-28,4045.97998,5378.2964
2019-03-29,4036.449951,5303.668
2019-03-30,4111.379883,5387.47
2019-03-31,4118.129883,5547.1104
2019-04-01,4112.689941,5658.5264
2019-04-02,4151.319824,5859.824
2019-04-03,4906.930176,5894.844
2019-04-04,4976.589844,6049.908
2019-04-05,4913.359863,6099.533
2019-04-06,5047.22998,6305.197
2019-04-07,5057.25,6010.7583
2019-04-08,5201.160156,6013.633
2019-04-09,5294.089844,6217.8745
2019-04-10,5201.299805,6288.307
2019-04-11,5318.600098,6172.8447
2019-04-12,5048.560059,6126.321
2019-04-13,5081.5,6099.043
2019-04-14,5080.660156,5947.822
2019-04-15,5165.589844,5480.279
2019-04-16,5037.27002,5955.77
2019-04-17,5212.810059,5722.9375
2019-04-18,5236.259766,5884.5317
2019-04-19,5289.75,5704.154
2019-04-20,5295.529785,6061.0527
2019-04-21,5326.180176,6116.6665
2019-04-22,5305.740234,6041.2256
2019-04-23,5394.669922,6069.859
2019-04-24,5539.100098,6059.932
2019-04-25,5454.580078,6099.483
2019-04-26,5162.669922,6262.2563
2019-04-27,5234.089844,6115.467
2019-04-28,5229.47998,5721.464
2019-04-29,5272.450195,5228.042
2019-04-30,5237.959961,5234.524
2019-05-01,5350.640137,5201.636
2019-05-02,5389.540039,5254.967
2019-05-03,5500.720215,5353.1763
2019-05-04,5753.379883,5608.037
2019-05-05,5840.080078,5726.619
2019-05-06,5794.140137,6136.3896
2019-05-07,5748.169922,6226.9604
2019-05-08,5819.569824,6161.5913
2019-05-09,5998.709961,5995.751
2019-05-10,6171.959961,6270.8896
2019-05-11,6358.290039,6163.9224
2019-05-12,7191.359863,6338.1567
2019-05-13,6977.629883,6425.151
2019-05-14,7806.359862999999,6532.6494
2019-05-15,7980.129883,6530.729
2019-05-16,8183.830077999999,6595.369
2019-05-17,7874.109863,6588.9995
2019-05-18,7371.959961,6554.5156
2019-05-19,7266.080078,6436.8755
2019-05-20,8193.139648,6200.1733
2019-05-21,7998.2900389999995,6279.0015
2019-05-22,7947.930176,6378.615
2019-05-23,7626.890136999999,6412.6514
2019-05-24,7876.499999999999,6296.4316
2019-05-25,7996.399902,6288.307
2019-05-26,8059.129882999999,6172.8447
2019-05-27,8726.230469,6191.049
2019-05-28,8785.169922,6305.3247
2019-05-29,8718.849609,6279.0015
2019-05-30,8664.55957,6363.053
2019-05-31,8276.25,6387.5933
2019-06-01,8550.669922,6402.904
2019-06-02,8555.870117,6355.8145
2019-06-03,8737.910156,6041.2256
2019-06-04,8114.490233999999,6079.688
2019-06-05,7677.470214999999,6136.3896
2019-06-06,7791.2900389999995,5977.787
2019-06-07,7807.359862999999,5118.795
2019-06-08,8002.629882999999,4856.8003
2019-06-09,7933.779785,4941.812
2019-06-10,7643.439941,5100.199
2019-06-11,8021.0,6069.859
2019-06-12,7917.319824,5901.0537
