,Real,Predicted
2019-07-20,10532.94043,4986.1777
2019-07-21,10759.419922,4936.921
2019-07-22,10586.709961,4845.919
2019-07-23,10325.870117,4773.3984
2019-07-24,9854.150391,4779.792
2019-07-25,9772.139648,4714.8105
2019-07-26,9882.429688,4657.4995
2019-07-27,9847.450195,4722.553
2019-07-28,9478.320313,4712.699
2019-07-29,9531.769531,4748.562
